Opérateur,Statut,Année,Valeur
ACADEMIE DE FRANCE A ROME,EPA,2021,793
ACADEMIE DE FRANCE A ROME,EPA,2022,866
ACADEMIE DE FRANCE A ROME,EPA,2023,869
AGENCE BIBLIOGRAPHIQUE DE L'ENSEIGNEMENT SUPERIEUR,EPA,2021,660
AGENCE BIBLIOGRAPHIQUE DE L'ENSEIGNEMENT SUPERIEUR,EPA,2022,684
AGENCE BIBLIOGRAPHIQUE DE L'ENSEIGNEMENT SUPERIEUR,EPA,2023,706
AGENCE DE FINANCEMENT DES INFRASTRUCTURES DE TRANSPORT DE FRANCE,EPA,2021,361
AGENCE DE FINANCEMENT DES INFRASTRUCTURES DE TRANSPORT DE FRANCE,EPA,2022,361
AGENCE DE FINANCEMENT DES INFRASTRUCTURES DE TRANSPORT DE FRANCE,EPA,2023,322
AGENCE DE GESTION ET DE RECOUVREMENT DES AVOIRS SAISIS ET CONFISQUES,EPA,2021,1243
AGENCE DE GESTION ET DE RECOUVREMENT DES AVOIRS SAISIS ET CONFISQUES,EPA,2022,1360
AGENCE DE GESTION ET DE RECOUVREMENT DES AVOIRS SAISIS ET CONFISQUES,EPA,2023,1405
AGENCE DE L EAU ARTOIS PICARDIE,EPA,2021,874
AGENCE DE L EAU ARTOIS PICARDIE,EPA,2022,888
AGENCE DE L EAU ARTOIS PICARDIE,EPA,2023,891
AGENCE DE L ENVIRONNEMENT ET DE LA MAITRISE DE L ENERGIE,EPIC,2021,1088
AGENCE DE L ENVIRONNEMENT ET DE LA MAITRISE DE L ENERGIE,EPIC,2022,1212
AGENCE DE L ENVIRONNEMENT ET DE LA MAITRISE DE L ENERGIE,EPIC,2023,1084
AGENCE DE L'EAU ADOUR GARONNE,EPA,2021,839
AGENCE DE L'EAU ADOUR GARONNE,EPA,2022,871
AGENCE DE L'EAU ADOUR GARONNE,EPA,2023,889
AGENCE DE L'EAU LOIRE -BRETAGNE,EPA,2021,996
AGENCE DE L'EAU LOIRE -BRETAGNE,EPA,2022,1035
AGENCE DE L'EAU LOIRE -BRETAGNE,EPA,2023,1063
AGENCE DE L'EAU RHIN MEUSE,EPA,2021,831
AGENCE DE L'EAU RHIN MEUSE,EPA,2022,863
AGENCE DE L'EAU RHIN MEUSE,EPA,2023,911
